# theta[deg]	neutral_n1	plasma_n1	neutral_n2	plasma_n2	neutral_n3	plasma_n3	neutral_n4	plasma_n4
0.00000000e+00	5.62908497e-01	8.92448742e-12	3.05508422e-01	6.86907557e-01	4.88636364e-01	1.99843960e-01	3.05508422e-01	6.93829928e-01
1.00000000e-01	5.62636166e-01	9.21186863e-12	3.07125194e-01	6.84260022e-01	4.87373737e-01	2.01401195e-01	3.07125194e-01	6.91287373e-01
2.00000000e-01	5.62363834e-01	9.50831610e-12	3.08756045e-01	6.81609228e-01	4.86111111e-01	2.02967629e-01	3.08756045e-01	6.88742862e-01
3.00000000e-01	5.62091503e-01	9.81410970e-12	3.10401057e-01	6.78955290e-01	4.84848485e-01	2.04543263e-01	3.10401057e-01	6.86196526e-01
4.00000000e-01	5.61819172e-01	1.01295377e-11	3.12060311e-01	6.76298327e-01	4.83585859e-01	2.06128099e-01	3.12060311e-01	6.83648497e-01
5.00000000e-01	5.61546841e-01	1.04548972e-11	3.13733890e-01	6.73638455e-01	4.82323232e-01	2.07722136e-01	3.13733890e-01	6.81098904e-01
6.00000000e-01	5.61274510e-01	1.07904940e-11	3.15421875e-01	6.70975791e-01	4.81060606e-01	2.09325375e-01	3.15421875e-01	6.78547879e-01
7.00000000e-01	5.61002179e-01	1.11366433e-11	3.17124349e-01	6.68310449e-01	4.79797980e-01	2.10937815e-01	3.17124349e-01	6.75995551e-01
8.00000000e-01	5.60729847e-01	1.14936697e-11	3.18841395e-01	6.65642547e-01	4.78535354e-01	2.12559456e-01	3.18841395e-01	6.73442051e-01
9.00000000e-01	5.60457516e-01	1.18619076e-11	3.20573096e-01	6.62972199e-01	4.77272727e-01	2.14190295e-01	3.20573096e-01	6.70887510e-01
1.00000000e+00	5.60185185e-01	1.22417015e-11	3.22319535e-01	6.60299520e-01	4.76010101e-01	2.15830331e-01	3.22319535e-01	6.68332056e-01
1.10000000e+00	5.59912854e-01	1.26334060e-11	3.24080794e-01	6.57624626e-01	4.74747475e-01	2.17479562e-01	3.24080794e-01	6.65775819e-01
1.20000000e+00	5.59640523e-01	1.30373865e-11	3.25856959e-01	6.54947630e-01	4.73484848e-01	2.19137986e-01	3.25856959e-01	6.63218929e-01
1.30000000e+00	5.59368192e-01	1.34540195e-11	3.27648112e-01	6.52268648e-01	4.72222222e-01	2.20805599e-01	3.27648112e-01	6.60661515e-01
1.40000000e+00	5.59095861e-01	1.38836924e-11	3.29454337e-01	6.49587792e-01	4.70959596e-01	2.22482398e-01	3.29454337e-01	6.58103706e-01
1.50000000e+00	5.58823529e-01	1.43268046e-11	3.31275720e-01	6.46905175e-01	4.69696970e-01	2.24168378e-01	3.31275720e-01	6.55545631e-01
1.60000000e+00	5.58551198e-01	1.47837671e-11	3.33112345e-01	6.44220912e-01	4.68434343e-01	2.25863536e-01	3.33112345e-01	6.52987417e-01
1.70000000e+00	5.58278867e-01	1.52550033e-11	3.34964295e-01	6.41535115e-01	4.67171717e-01	2.27567866e-01	3.34964295e-01	6.50429194e-01
1.80000000e+00	5.58006536e-01	1.57409494e-11	3.36831658e-01	6.38847895e-01	4.65909091e-01	2.29281363e-01	3.36831658e-01	6.47871089e-01
1.90000000e+00	5.57734205e-01	1.62420544e-11	3.38714516e-01	6.36159365e-01	4.64646465e-01	2.31004021e-01	3.38714516e-01	6.45313230e-01
2.00000000e+00	5.57461874e-01	1.67587808e-11	3.40612958e-01	6.33469637e-01	4.63383838e-01	2.32735834e-01	3.40612958e-01	6.42755745e-01
2.10000000e+00	5.57189542e-01	1.72916049e-11	3.42527067e-01	6.30778821e-01	4.62121212e-01	2.34476795e-01	3.42527067e-01	6.40198760e-01
2.20000000e+00	5.56917211e-01	1.78410169e-11	3.44456929e-01	6.28087028e-01	4.60858586e-01	2.36226897e-01	3.44456929e-01	6.37642403e-01
2.30000000e+00	5.56644880e-01	1.84075220e-11	3.46402632e-01	6.25394368e-01	4.59595960e-01	2.37986132e-01	3.46402632e-01	6.35086800e-01
2.40000000e+00	5.56372549e-01	1.89916402e-11	3.48364262e-01	6.22700952e-01	4.58333333e-01	2.39754491e-01	3.48364262e-01	6.32532077e-01
2.50000000e+00	5.56100218e-01	1.95939069e-11	3.50341905e-01	6.20006888e-01	4.57070707e-01	2.41531966e-01	3.50341905e-01	6.29978361e-01
2.60000000e+00	5.55827887e-01	2.02148735e-11	3.52335647e-01	6.17312286e-01	4.55808081e-01	2.43318548e-01	3.52335647e-01	6.27425778e-01
2.70000000e+00	5.55555556e-01	2.08551077e-11	3.54345577e-01	6.14617254e-01	4.54545455e-01	2.45114226e-01	3.54345577e-01	6.24874451e-01
2.80000000e+00	5.55283224e-01	2.15151941e-11	3.56371782e-01	6.11921901e-01	4.53282828e-01	2.46918991e-01	3.56371782e-01	6.22324508e-01
2.90000000e+00	5.55010893e-01	2.21957344e-11	3.58414349e-01	6.09226334e-01	4.52020202e-01	2.48732831e-01	3.58414349e-01	6.19776072e-01
3.00000000e+00	5.54738562e-01	2.28973485e-11	3.60473366e-01	6.06530660e-01	4.50757576e-01	2.50555735e-01	3.60473366e-01	6.17229268e-01
3.10000000e+00	5.54466231e-01	2.36206741e-11	3.62548921e-01	6.03834986e-01	4.49494949e-01	2.52387692e-01	3.62548921e-01	6.14684220e-01
3.20000000e+00	5.54193900e-01	2.43663683e-11	3.64641103e-01	6.01139418e-01	4.48232323e-01	2.54228688e-01	3.64641103e-01	6.12141052e-01
3.30000000e+00	5.53921569e-01	2.51351072e-11	3.66750000e-01	5.98444062e-01	4.46969697e-01	2.56078712e-01	3.66750000e-01	6.09599888e-01
3.40000000e+00	5.53649237e-01	2.59275870e-11	3.68875701e-01	5.95749023e-01	4.45707071e-01	2.57937748e-01	3.68875701e-01	6.07060849e-01
3.50000000e+00	5.53376906e-01	2.67445244e-11	3.71018294e-01	5.93054407e-01	4.44444444e-01	2.59805784e-01	3.71018294e-01	6.04524059e-01
3.60000000e+00	5.53104575e-01	2.75866574e-11	3.73177870e-01	5.90360317e-01	4.43181818e-01	2.61682805e-01	3.73177870e-01	6.01989641e-01
3.70000000e+00	5.52832244e-01	2.84547454e-11	3.75354517e-01	5.87666857e-01	4.41919192e-01	2.63568796e-01	3.75354517e-01	5.99457716e-01
3.80000000e+00	5.52559913e-01	2.93495703e-11	3.77548326e-01	5.84974130e-01	4.40656566e-01	2.65463740e-01	3.77548326e-01	5.96928406e-01
3.90000000e+00	5.52287582e-01	3.02719371e-11	3.79759386e-01	5.82282240e-01	4.39393939e-01	2.67367623e-01	3.79759386e-01	5.94401832e-01
4.00000000e+00	5.52015251e-01	3.12226743e-11	3.81987788e-01	5.79591289e-01	4.38131313e-01	2.69280426e-01	3.81987788e-01	5.91878115e-01
4.10000000e+00	5.51742919e-01	3.22026348e-11	3.84233622e-01	5.76901377e-01	4.36868687e-01	2.71202132e-01	3.84233622e-01	5.89357375e-01
4.20000000e+00	5.51470588e-01	3.32126965e-11	3.86496978e-01	5.74212607e-01	4.35606061e-01	2.73132725e-01	3.86496978e-01	5.86839732e-01
4.30000000e+00	5.51198257e-01	3.42537629e-11	3.88777948e-01	5.71525079e-01	4.34343434e-01	2.75072184e-01	3.88777948e-01	5.84325307e-01
4.40000000e+00	5.50925926e-01	3.53267642e-11	3.91076622e-01	5.68838894e-01	4.33080808e-01	2.77020491e-01	3.91076622e-01	5.81814217e-01
4.50000000e+00	5.50653595e-01	3.64326576e-11	3.93393093e-01	5.66154150e-01	4.31818182e-01	2.78977627e-01	3.93393093e-01	5.79306583e-01
4.60000000e+00	5.50381264e-01	3.75724286e-11	3.95727451e-01	5.63470946e-01	4.30555556e-01	2.80943570e-01	3.95727451e-01	5.76802521e-01
4.70000000e+00	5.50108932e-01	3.87470911e-11	3.98079789e-01	5.60789382e-01	4.29292929e-01	2.82918301e-01	3.98079789e-01	5.74302151e-01
4.80000000e+00	5.49836601e-01	3.99576889e-11	4.00450199e-01	5.58109555e-01	4.28030303e-01	2.84901797e-01	4.00450199e-01	5.71805590e-01
4.90000000e+00	5.49564270e-01	4.12052961e-11	4.02838772e-01	5.55431563e-01	4.26767677e-01	2.86894037e-01	4.02838772e-01	5.69312955e-01
5.00000000e+00	5.49291939e-01	4.24910184e-11	4.05245603e-01	5.52755502e-01	4.25505051e-01	2.88894998e-01	4.05245603e-01	5.66824362e-01
5.10000000e+00	5.49019608e-01	4.38159933e-11	4.07670782e-01	5.50081468e-01	4.24242424e-01	2.90904657e-01	4.07670782e-01	5.64339927e-01
5.20000000e+00	5.48747277e-01	4.51813917e-11	4.10114404e-01	5.47409556e-01	4.22979798e-01	2.92922990e-01	4.10114404e-01	5.61859768e-01
5.30000000e+00	5.48474946e-01	4.65884185e-11	4.12576561e-01	5.44739863e-01	4.21717172e-01	2.94949972e-01	4.12576561e-01	5.59383998e-01
5.40000000e+00	5.48202614e-01	4.80383137e-11	4.15057347e-01	5.42072482e-01	4.20454545e-01	2.96985579e-01	4.15057347e-01	5.56912732e-01
5.50000000e+00	5.47930283e-01	4.95323531e-11	4.17556856e-01	5.39407507e-01	4.19191919e-01	2.99029785e-01	4.17556856e-01	5.54446086e-01
5.60000000e+00	5.47657952e-01	5.10718498e-11	4.20075182e-01	5.36745032e-01	4.17929293e-01	3.01082563e-01	4.20075182e-01	5.51984173e-01
5.70000000e+00	5.47385621e-01	5.26581549e-11	4.22612419e-01	5.34085148e-01	4.16666667e-01	3.03143886e-01	4.22612419e-01	5.49527105e-01
5.80000000e+00	5.47113290e-01	5.42926586e-11	4.25168662e-01	5.31427948e-01	4.15404040e-01	3.05213728e-01	4.25168662e-01	5.47074998e-01
5.90000000e+00	5.46840959e-01	5.59767914e-11	4.27744004e-01	5.28773523e-01	4.14141414e-01	3.07292059e-01	4.27744004e-01	5.44627962e-01
6.00000000e+00	5.46568627e-01	5.77120252e-11	4.30338542e-01	5.26121964e-01	4.12878788e-01	3.09378852e-01	4.30338542e-01	5.42186110e-01
6.10000000e+00	5.46296296e-01	5.94998744e-11	4.32952369e-01	5.23473361e-01	4.11616162e-01	3.11474076e-01	4.32952369e-01	5.39749553e-01
6.20000000e+00	5.46023965e-01	6.13418974e-11	4.35585582e-01	5.20827804e-01	4.10353535e-01	3.13577701e-01	4.35585582e-01	5.37318403e-01
6.30000000e+00	5.45751634e-01	6.32396974e-11	4.38238277e-01	5.18185381e-01	4.09090909e-01	3.15689698e-01	4.38238277e-01	5.34892769e-01
6.40000000e+00	5.45479303e-01	6.51949238e-11	4.40910548e-01	5.15546181e-01	4.07828283e-01	3.17810033e-01	4.40910548e-01	5.32472763e-01
6.50000000e+00	5.45206972e-01	6.72092737e-11	4.43602492e-01	5.12910291e-01	4.06565657e-01	3.19938677e-01	4.43602492e-01	5.30058493e-01
6.60000000e+00	5.44934641e-01	6.92844931e-11	4.46314206e-01	5.10277798e-01	4.05303030e-01	3.22075595e-01	4.46314206e-01	5.27650069e-01
6.70000000e+00	5.44662309e-01	7.14223781e-11	4.49045786e-01	5.07648788e-01	4.04040404e-01	3.24220754e-01	4.49045786e-01	5.25247599e-01
6.80000000e+00	5.44389978e-01	7.36247768e-11	4.51797328e-01	5.05023348e-01	4.02777778e-01	3.26374121e-01	4.51797328e-01	5.22851190e-01
6.90000000e+00	5.44117647e-01	7.58935900e-11	4.54568930e-01	5.02401562e-01	4.01515152e-01	3.28535662e-01	4.54568930e-01	5.20460952e-01
7.00000000e+00	5.43845316e-01	7.82307733e-11	4.57360689e-01	4.99783514e-01	4.00252525e-01	3.30705339e-01	4.57360689e-01	5.18076990e-01
7.10000000e+00	5.43572985e-01	8.06383387e-11	4.60172703e-01	4.97169288e-01	3.98989899e-01	3.32883119e-01	4.60172703e-01	5.15699411e-01
7.20000000e+00	5.43300654e-01	8.31183554e-11	4.63005069e-01	4.94558967e-01	3.97727273e-01	3.35068964e-01	4.63005069e-01	5.13328321e-01
7.30000000e+00	5.43028322e-01	8.56729522e-11	4.65857885e-01	4.91952634e-01	3.96464646e-01	3.37262837e-01	4.65857885e-01	5.10963825e-01
7.40000000e+00	5.42755991e-01	8.83043188e-11	4.68731249e-01	4.89350370e-01	3.95202020e-01	3.39464700e-01	4.68731249e-01	5.08606028e-01
7.50000000e+00	5.42483660e-01	9.10147076e-11	4.71625260e-01	4.86752256e-01	3.93939394e-01	3.41674514e-01	4.71625260e-01	5.06255035e-01
7.60000000e+00	5.42211329e-01	9.38064354e-11	4.74540017e-01	4.84158373e-01	3.92676768e-01	3.43892241e-01	4.74540017e-01	5.03910950e-01
7.70000000e+00	5.41938998e-01	9.66818851e-11	4.77475618e-01	4.81568799e-01	3.91414141e-01	3.46117840e-01	4.77475618e-01	5.01573874e-01
7.80000000e+00	5.41666667e-01	9.96435077e-11	4.80432163e-01	4.78983615e-01	3.90151515e-01	3.48351270e-01	4.80432163e-01	4.99243912e-01
